site_id,usgs_gage,sp_start,lat,long,fire_id,ign_date
nwis-11044000,11044000,2007-10-01T06:59:59Z,-117.142,33.4739,CA3338411718020071022,2007-10-22
nwis-11044000,11044000,2007-10-01T06:59:59Z,-117.142,33.4739,CA3330011692020071023,2007-10-23
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2759708111420071017,2007-10-17
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2759708111420071017,2007-10-17
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2759708111420071017,2007-10-17
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2759908107420071108,2007-11-08
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2759908107420071108,2007-11-08
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2759908107420071108,2007-11-08
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2762108110020071115,2007-11-15
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2762108110020071115,2007-11-15
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2762108110020071115,2007-11-15
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2802708144520071204,2007-12-04
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2802708144520071204,2007-12-04
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2802708144520071204,2007-12-04
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2800308134220071206,2007-12-06
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2800308134220071206,2007-12-06
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2800308134220071206,2007-12-06
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2775408139120071219,2007-12-19
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2775408139120071219,2007-12-19
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2775408139120071219,2007-12-19
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2757708111020071229,2007-12-29
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2757708111020071229,2007-12-29
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2757708111020071229,2007-12-29
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2830308112120071205,2007-12-05
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2830308112120071205,2007-12-05
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2830308112120071205,2007-12-05
nwis-08049500,08049500,2007-10-01T04:59:59Z,-96.9944,32.7625,TX3267109751820080130,2008-01-30
nwis-07241520,07241520,2007-10-01T04:59:59Z,-97.3673,35.5656,OK3528909610420081030,2008-10-30
nwis-07241550,07241550,2007-10-04T14:59:59Z,-97.1939,35.5003,OK3528909610420081030,2008-10-30
nwis-07177500,07177500,2007-10-01T04:59:59Z,-95.9542,36.2784,OK3663909660420081106,2008-11-06
nwis-07178200,07178200,2007-10-01T04:59:59Z,-95.8194,36.2232,OK3663909660420081106,2008-11-06
nwis-11044000,11044000,2007-10-01T06:59:59Z,-117.142,33.4739,CA3339211745520080702,2008-07-02
nwis-11462500,11462500,2007-10-01T06:59:59Z,-123.131,39.0266,CA3921812339220080704,2008-07-04
nwis-11463980,11463980,2007-10-01T06:59:59Z,-122.856,38.633,CA3921812339220080704,2008-07-04
nwis-11467000,11467000,2007-10-01T06:59:59Z,-122.928,38.5085,CA3921812339220080704,2008-07-04
nwis-07106000,07106000,2007-10-01T05:59:59Z,-104.67,38.6017,CO3861310485820080416,2008-04-16
nwis-07109500,07109500,2007-10-03T05:59:59Z,-104.399,38.2481,CO3861310485820080416,2008-04-16
nwis-07109500,07109500,2007-10-03T05:59:59Z,-104.399,38.2481,CO3874110535020080627,2008-06-27
nwis-11044000,11044000,2007-10-01T06:59:59Z,-117.142,33.4739,CA3327411733220081009,2008-10-09
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2774108141820080102,2008-01-02
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2774108141820080102,2008-01-02
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2774108141820080102,2008-01-02
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2766808115520080104,2008-01-04
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2766808115520080104,2008-01-04
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2766808115520080104,2008-01-04
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2757008100020080110,2008-01-10
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2757008100020080110,2008-01-10
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2757008100020080110,2008-01-10
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2759108122720080111,2008-01-11
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2759108122720080111,2008-01-11
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2759108122720080111,2008-01-11
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2759808123920080112,2008-01-12
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2759808123920080112,2008-01-12
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2759808123920080112,2008-01-12
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2770508130520080114,2008-01-14
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2770508130520080114,2008-01-14
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2770508130520080114,2008-01-14
