fire_id,usgs_gage,watershed_area_m2,burned_area_m2,na_l2name,mat_c,map_mm_yr
OK3666709655920160503,07178200,2944091129.5733056,122759113.91553164,TEMPERATE PRAIRIES,15.549166666666668,10690.8675
OK3666009646520160401,07177500,2361040046.275374,16663028.680175489,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3666009646520160401,07177500,2944091129.5733056,16663028.680175489,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3666009646520160401,07178200,2944091129.5733056,16663028.680175489,TEMPERATE PRAIRIES,15.549166666666668,10690.8675
OK3660409649120160401,07177500,2361040046.275374,8002496.709820313,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3660409649120160401,07177500,2944091129.5733056,8002496.709820313,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3660409649120160401,07178200,2944091129.5733056,8002496.709820313,TEMPERATE PRAIRIES,15.549166666666668,10690.8675
OK3648609626520160409,07177500,2361040046.275374,119388250.32061069,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3648609626520160409,07177500,2944091129.5733056,119388250.32061069,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3648609626520160409,07178200,2944091129.5733056,119388250.32061069,TEMPERATE PRAIRIES,15.549166666666668,10690.8675
OK3657909624820160409,07177500,2361040046.275374,15999822.451455215,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3657909624820160409,07177500,2944091129.5733056,15999822.451455215,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3657909624820160409,07178200,2944091129.5733056,15999822.451455215,TEMPERATE PRAIRIES,15.549166666666668,10690.8675
OK3657509637220160503,07177500,2361040046.275374,12245827.263648814,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3657509637220160503,07177500,2944091129.5733056,12245827.263648814,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3657509637220160503,07178200,2944091129.5733056,12245827.263648814,TEMPERATE PRAIRIES,15.549166666666668,10690.8675
OK3648509596020160409,07177500,2361040046.275374,27744066.574774116,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3648509596020160409,07177500,2944091129.5733056,27744066.574774116,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3648509596020160409,07178200,2944091129.5733056,27744066.574774116,TEMPERATE PRAIRIES,15.549166666666668,10690.8675
OK3638209593620160503,07177500,2361040046.275374,4212892.581841883,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3638209593620160503,07177500,2944091129.5733056,4212892.581841883,TEMPERATE PRAIRIES,15.192499999999999,9251.7825
OK3638209593620160503,07178200,2944091129.5733056,4212892.581841883,TEMPERATE PRAIRIES,15.549166666666668,10690.8675
